"Time","Total Calls","Total Calls [Min. Call Length]","Connected Calls","Calls Not Connected","Calls Not Connected (Length Limit Reached)","Calls Not Connected (Contact Hung Up)","Calls Not Connected (Caller Hangup Within 5 Seconds)","Calls Not Connected (Caller Hangup Within 10 Seconds)","Calls Not Connected (Caller Hangup Within 20 Seconds)","Availability (%)","TOTAL CALLS INCLUDING HANGUPS (M)","Avg Call Length (s)","Longest Wait Time (s)","Avg Wait Time (s)","Avg Answer Time (s)","Avg Wrap Up Time (s)","Max. Queue Length","Avg Talk Time (s)"
"2024-12-16 08:00","245","245","53","192","191","1","0","0","1","21.63","934.5","229","1955","196.37","907.36","18.04","20","150.2"
"2024-12-16 08:30","171","171","22","149","148","1","1","1","1","12.87","735.3","258","2073","230.56","1791.91","18.54","20","213.21"
"2024-12-16 09:00","108","108","19","89","89","0","0","0","0","17.59","823.9","458","2814","414.21","2354.48","16.08","20","247.14"
"2024-12-16 09:30","101","101","9","92","89","3","0","0","1","8.91","330.8","197","2228","181.29","1919.49","8.78","20","170.98"
"2024-12-16 10:00","69","69","27","42","41","1","0","1","1","39.13","1159.7","1008","3249","929.01","2373.91","16.77","20","202.93"
"2024-12-16 10:30","96","96","7","89","87","1","0","0","0","7.29","254.2","159","2527","143.47","1719.5","17.41","20","203.89"
"2024-12-16 11:00","62","62","19","43","38","5","0","1","1","30.65","637.8","617","1900","567.32","1777.53","16.33","20","162.87"
"2024-12-16 11:30","45","45","24","21","13","8","3","5","6","53.33","805.9","1075","2666","965.26","1753.47","15.98","20","204.44"
"2024-12-16 12:00","52","52","13","39","37","2","1","1","1","25","719","830","3420","773.38","3091.33","18.61","20","225"
"2024-12-16 12:30","81","81","10","71","69","2","1","1","1","12.35","501.6","372","3022","354.47","2849.91","18.02","20","138.43"
"2024-12-16 13:00","72","72","12","60","54","6","0","2","2","16.67","516.5","430","2373","374.41","1948.4","20.35","20","335.39"
"2024-12-16 13:30","62","62","20","42","40","1","0","0","0","32.26","781.8","757","2380","672.5","1979.36","18.38","20","258.04"
"2024-12-16 14:00","68","68","18","50","47","3","1","3","3","26.47","474.4","419","2109","377.41","1424.71","14.55","20","155.68"
"2024-12-16 14:30","55","55","31","24","19","5","3","3","4","56.36","641.1","699","1282","610.71","1078.11","19.77","20","157.24"
"2024-12-16 15:00","49","49","23","26","17","9","2","4","6","46.94","512.7","628","1441","552.05","1156.02","15.63","20","161.19"
"2024-12-16 15:30","43","43","31","12","0","12","1","3","6","72.09","440.4","615","934","510.27","684.55","17.91","18","144.61"
"2024-12-16 16:00","22","22","17","5","0","5","0","0","1","77.27","215.7","588","844","420.63","494.8","19","17","216.88"
"2024-12-16 16:30","32","32","28","4","0","4","1","2","3","87.5","173.8","326","402","180.64","197.09","18.56","9","165.94"
"2024-12-16 17:00","17","17","15","2","0","2","1","1","1","88.24","189.2","668","715","316.54","344.78","16.49","6","397.94"
"2024-12-16 17:30","10","10","8","2","0","2","1","1","1","80","55.7","334","677","243.8","291.44","20.01","5","113.28"
"2024-12-16 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-12-17 08:00","255","255","67","188","186","1","0","0","0","26.27","818.9","193","978","163.51","610.71","18.86","20","110.97"
"2024-12-17 08:30","121","121","26","95","94","1","0","0","0","21.49","791.5","392","2145","362.45","1683.19","18.04","20","139.69"
"2024-12-17 09:00","76","76","25","51","47","4","2","2","3","32.89","632.7","499","1806","438.17","1280.02","18.21","20","186.24"
"2024-12-17 09:30","31","31","21","10","4","6","1","3","5","67.74","605.6","1172","1989","1092.42","1586.45","14.55","20","117.65"
"2024-12-17 10:00","64","64","20","44","38","6","1","1","2","31.25","419.9","394","1629","329.91","1037.59","19.2","20","204"
"2024-12-17 10:30","32","32","22","10","3","7","0","0","2","68.75","652","1223","2023","1094.41","1473.68","16.66","20","186.18"
"2024-12-17 11:00","22","22","16","6","4","2","2","2","2","72.73","449.6","1226","1984","1079.48","1483.86","17.92","20","201.7"
"2024-12-17 11:30","31","31","20","11","1","10","2","4","4","64.52","681.4","1319","2138","1180.81","1741.1","17.72","20","213.81"
"2024-12-17 12:00","23","23","15","8","7","1","0","0","0","65.22","515.9","1346","2105","1215.64","1765.28","17.95","20","199.45"
"2024-12-17 12:30","24","24","18","6","0","6","0","0","1","75","473.5","1184","1513","993.54","1186.04","18.46","19","253.51"
"2024-12-17 13:00","38","38","20","18","13","5","0","0","2","52.63","824.1","1301","2869","1176.09","2220.66","18.26","20","237.69"
"2024-12-17 13:30","26","26","12","14","9","5","1","2","3","46.15","522.3","1205","2573","1106.32","2144.96","18.61","20","213.67"
"2024-12-17 14:00","35","35","16","19","14","5","3","5","5","45.71","427.2","732","1813","642.97","1405.02","17.17","20","195.33"
"2024-12-17 14:30","29","29","21","8","0","8","2","2","3","72.41","551.7","1141","1485","952.24","1201.47","17.7","19","261.24"
"2024-12-17 15:00","43","43","24","19","12","7","3","3","3","55.81","830","1158","2133","1040.91","1677.34","19.44","20","209.37"
"2024-12-17 15:30","21","21","12","9","0","9","3","5","7","57.14","323.6","924","1676","789.52","1342.78","19.86","20","236.12"
"2024-12-17 16:00","29","29","18","11","0","11","3","6","7","62.07","565.5","1170","1923","969.31","1499.56","19.09","17","323.15"
"2024-12-17 16:30","24","24","15","9","0","9","2","6","7","62.5","279","698","996","531.81","802.07","17.26","19","265.11"
"2024-12-17 17:00","14","14","12","2","0","2","0","0","0","85.71","126.1","540","998","395.41","451.96","20.01","11","169.14"
"2024-12-17 17:30","9","9","9","0","0","0","0","0","0","100","60.9","406","420","143.03","143.03","18.16","3","262.98"
"2024-12-17 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-12-18 08:00","149","149","70","79","77","2","0","0","0","46.98","605.9","244","613","194.34","411.98","18.35","20","105.66"
"2024-12-18 08:30","30","30","30","0","0","0","0","0","0","100","136.8","274","276","95.99","95.99","19.74","6","177.56"
"2024-12-18 09:00","31","31","31","0","0","0","0","0","0","100","291.4","564","719","397.46","397.46","19.71","11","166.42"
"2024-12-18 09:30","30","30","26","4","0","4","0","0","0","86.67","234.4","469","564","261.87","278.16","17.7","8","238.78"
"2024-12-18 10:00","22","22","20","2","0","2","0","0","0","90.91","331.7","905","1147","722.13","784.64","20.04","10","200.65"
"2024-12-18 10:30","17","17","15","2","0","2","1","1","1","88.24","191.8","677","785","464.8","523.97","20.02","9","240.41"
"2024-12-18 11:00","31","31","19","12","0","12","3","3","6","61.29","405.1","784","1485","684.29","1044.51","18.81","13","162.67"
"2024-12-18 11:30","25","25","16","9","0","9","3","3","4","64","358.9","861","1410","721.95","1004.72","16.81","14","217.81"
"2024-12-18 12:00","16","16","8","8","0","8","1","3","3","50","164.6","617","910","479.1","708.43","16.31","11","276.41"
"2024-12-18 12:30","25","25","16","9","0","9","1","3","4","64","542.9","1303","2665","1212.88","1591.2","19.26","12","140.54"
"2024-12-18 13:00","15","15","6","9","0","9","2","4","4","40","245.3","981","2679","888.28","2034.56","12.44","14","231.92"
"2024-12-18 13:30","27","27","17","10","0","10","3","6","8","62.96","285.8","635","1133","535.55","823.83","14.86","13","157.98"
"2024-12-18 14:00","26","26","20","6","0","6","2","3","3","76.92","285.9","660","1023","537.12","674.97","16.26","11","159.37"
"2024-12-18 14:30","22","22","17","5","0","5","1","4","4","77.27","209.7","572","816","459.15","577.43","15.71","12","145.8"
"2024-12-18 15:00","24","24","17","7","0","7","2","4","4","70.83","327.2","818","1331","691.61","902.91","16.86","12","178.46"
"2024-12-18 15:30","23","23","16","7","0","7","0","1","1","69.57","447.1","1166","1738","978.45","1221.27","14.24","14","269.93"
"2024-12-18 16:00","14","14","7","7","0","7","1","1","2","50","97.8","419","1080","309.8","410.14","15.39","13","218.56"
